PRC_ITEM,PRC_PRICE_TYPE,PRC_VALUE
877,1,19000
878,1,19000
879,1,19000
880,1,19000
881,1,19000
882,1,19000
883,1,19000
884,1,19000
885,1,43000
886,1,20000
887,1,20000
888,1,22000
889,1,22000
890,1,22000
891,1,22000
892,1,22000
893,1,22000
894,1,19000
895,1,19000
896,1,19000
897,1,19000
898,1,19000
899,1,19000
900,1,19000
901,1,19000
902,1,19000
903,1,19000
904,1,22000
905,1,27000
906,1,25000
907,1,25000
908,1,25000
909,1,25000
910,1,25000
911,1,25000
912,1,25000
913,1,25000
914,1,25000
915,1,25000
916,1,25000
917,1,25000
918,1,25000
919,1,25000
920,1,25000
921,1,25000
922,1,25000
923,1,27000
924,1,26000
925,1,24000
926,1,24000
927,1,20000
928,1,20000
929,1,20000
930,1,20000
931,1,20000
932,1,20000
933,1,46000
934,1,25000
935,1,25000
936,1,25000
937,1,24000
938,1,23000
939,1,23000
940,1,23000
941,1,23000
942,1,23000
943,1,25000
944,1,22000
945,1,22000
946,1,22000
947,1,30000
948,1,24000
949,1,24000
950,1,25000
951,1,26000
952,1,23000
953,1,23000
954,1,23000
955,1,23000
956,1,23000
957,1,23000
958,1,23000
959,1,25000
960,1,26000
961,1,21000
962,1,25000
963,1,25000
964,1,30000
965,1,30000
966,1,30000
967,1,30000
968,1,30000
969,1,30000
970,1,30000
971,1,30000
972,1,26000
973,1,26000
974,1,26000
975,1,25000
976,1,26000
977,1,26000
978,1,26000
979,1,26000
980,1,26000
981,1,26000
982,1,26000
983,1,26000
984,1,26000
985,1,20000
986,1,30000
987,1,29000
988,1,30000
989,1,27000
990,1,28000
991,1,28000
992,1,28000
993,1,28000
994,1,28000
995,1,27000
996,1,30000
997,1,46000
998,1,35000
999,1,35000
1000,1,25000
1001,1,40000
1002,1,35000
1003,1,32500
1004,1,32000
1005,1,35000
1006,1,36000
1007,1,33000
1008,1,33000
1009,1,33000
1010,1,33000
1011,1,37000
1012,1,37000
1013,1,33000
1014,1,33000
1015,1,33000
1016,1,33000
1017,1,34000
1018,1,34000
1019,1,34000
1020,1,34000
1021,1,34000
1022,1,34000
1023,1,34000
1024,1,35000
1025,1,34000
1026,1,34000
1027,1,40000
1028,1,40000
1029,1,38000
1030,1,38000
1031,1,38000
1032,1,38000
1033,1,38000
1034,1,38000
1035,1,37000
1279,1,18000
1282,1,17
1283,1,15.03
5,1,750000
1248,1,10000
1250,1,300
1262,1,130000
20,1,4386666
30,1,15000
1371,1,75000
7,1,120000
8,1,18000
9,1,180000
10,1,36000
1199,1,2750
1198,1,150
1203,1,23000
1320,1,83555.2
1291,1,120000
1292,1,60000
1228,1,16675
1369,1,250000
1202,1,200000
29,1,40000
26,1,7000
1306,1,300
1307,1,610
1308,1,1000
1309,1,38.76
1310,1,62.98
821,1,13500
1290,1,10
1344,1,12000
34,1,5500
1225,1,22000
40,1,0
1237,1,100000
1327,1,5000
1338,1,20000
1339,1,6000
1380,1,20000
1383,1,7000
1384,1,7000
1385,1,7000
1386,1,13750
1387,1,13750
1388,1,35000
1389,1,12000
1390,1,35000
1391,1,29000
1392,1,6500
1393,1,17000
1394,1,17000
1395,1,32000
1396,1,3000
1397,1,3000
1398,1,7000
1399,1,7000
1400,1,6000
1401,1,6000
1402,1,7000
1403,1,35000
1404,1,35000
1405,1,23000
1406,1,20000
1407,1,20000
1408,1,20000
1409,1,150000
1410,1,15000
1411,1,37000
1412,1,67000
1413,1,53000
33,1,10000
35,1,25000
25,1,1500
1232,1,16500
28,1,19500
27,1,28000
18,1,0
1315,1,0
17,1,0
1316,1,4566
1317,1,4254
1318,1,8555
1349,1,6.5
1350,1,26
1351,1,16
801,1,5000
811,1,0
802,1,0
1196,1,0
1195,1,0
1205,1,402500
1200,1,0
31,1,0
24,1,0
1201,1,0
1275,1,0
1223,1,0
1348,1,11.02
32,1,50000
1341,1,45000
1233,1,55000
1564,1,70000
1565,1,16000
1566,1,17000
1568,1,400000
1567,1,220000
1421,1,30000
1570,1,9000
1569,1,12000
1342,1,12000
1343,1,12000
1574,1,132000
1581,1,100000
1586,1,0
1576,1,95000
1587,1,80000
869,1,17000
1630,1,25000
1422,1,8000
19,1,13000
1264,1,5000
1632,1,350000
1423,1,0
1424,1,0
1635,1,15000
1265,1,1010
1640,1,10000
1641,1,130000
1636,1,8500
1637,1,14000
1638,1,16000
1639,1,12000
1900,1,18500
1901,1,12000
1902,1,18500
1903,1,12000
1904,1,20600
1905,1,28000
1906,1,16000
1907,1,14500
1908,1,14500
1911,1,34000
1912,1,33000
1913,1,47000
1914,1,35000
1915,1,38000
1916,1,16500
1917,1,25000
1918,1,25000
1919,1,30000
1920,1,190000
1921,1,86000
1923,1,151000
1924,1,172500
1926,1,286000
1927,1,220000
1928,1,150000
1929,1,77000
1930,1,192000
1931,1,184999
1932,1,13000
1933,1,19000
1934,1,19500
1935,1,10000
1936,1,15000
1937,1,30000
1938,1,32500
1939,1,12000
1940,1,9000
1941,1,26000
1942,1,25300
1943,1,12000
1944,1,17000
1945,1,20000
1946,1,8000
1947,1,16000
1948,1,16000
1949,1,16000
1950,1,16000
1951,1,25000
1952,1,15600
1953,1,15500
1954,1,15600
1955,1,15500
1956,1,12000
1957,1,10000
1958,1,10000
1959,1,14000
1960,1,12000
1961,1,21000
1962,1,21000
1963,1,21000
1964,1,21000
1965,1,24000
1966,1,24000
1967,1,9000
1968,1,9000
1969,1,9000
1970,1,9000
1971,1,9000
1972,1,18000
1973,1,18000
1974,1,9000
1975,1,9000
1976,1,11000
1977,1,11000
1978,1,11000
1979,1,12500
1980,1,13800
1981,1,12500
1982,1,12500
1983,1,12500
1984,1,13800
1985,1,7500
1986,1,14900
1987,1,7200
1988,1,7200
1989,1,7200
1990,1,14900
1991,1,7200
1992,1,7200
1993,1,13800
1994,1,13800
1995,1,13800
1996,1,13800
1997,1,7000
1998,1,7000
1999,1,18000
2000,1,18000
2001,1,12000
2002,1,36000
2003,1,14500
2004,1,69500
2005,1,30000
2006,1,18000
2007,1,21000
2008,1,116000
2009,1,58000
2010,1,35000
2011,1,23000
2012,1,11600
2013,1,97000
2014,1,1000000
2015,1,80000
2016,1,175000
2017,1,75000
2018,1,60000
2019,1,20000
2020,1,40000
2021,1,7000
2022,1,85000
2023,1,107000
2024,1,90000
2025,1,120000
2026,1,105000
2027,1,88000
2028,1,14000
2029,1,70000
2030,1,86000
2031,1,110000
2032,1,110000
2033,1,70000
2034,1,11000
2035,1,11000
2036,1,2250
2037,1,8000
2040,1,36000
2041,1,22000
2042,1,74000
2043,1,82000
2044,1,71000
2045,1,66000
2046,1,64500
2047,1,50000
2048,1,43000
2049,1,81000
2050,1,86000
2051,1,75500
2052,1,44000
2053,1,76000
2054,1,62500
2055,1,44000
2059,1,75500
2060,1,71000
2061,1,46500
2062,1,71500
2063,1,115000.38
2064,1,167000
2065,1,50000
2066,1,51500
2067,1,70500
2068,1,75800
2069,1,71000
2070,1,126000
2071,1,79800
2073,1,109000
2074,1,70000
2075,1,72000
2076,1,111000
2078,1,55500
2079,1,81000
2080,1,85000
